id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
3457934b,7805B1,170,3850,215,,A321,B-6597,1710304775,DQA,PEK,CA1698,CA,0,-640,CCA1698,CCA
34578376,780E75,15,17700,350,,B738,B-6496,1710304799,HGH,PEK,CA1709,CA,0,0,CCA1709,CCA
3457a299,781644,323,11700,346,,B38M,B-209K,1710304792,HGH,PEK,CA1711,CA,0,2048,CCA1711,CCA
34579a7b,780AD1,163,29100,470,,A332,B-5925,1710304795,PEK,HGH,CA1712,CA,0,128,CCA1712,CCA
3457af09,7800C8,29,3450,180,,A319,B-6048,1710304763,PEK,HGH,CA1714,CA,0,1152,CCA1714,CCA
345798b9,780580,303,27600,365,,B738,B-5442,1710304799,ICN,TSN,CA172,CA,0,0,CCA172,CCA
34578fa5,7809A6,47,26600,473,,A333,B-5919,1710304799,SZX,HGH,CA1738,CA,0,-64,CCA1738,CCA
3457a27e,7806E0,101,29100,527,,A320,B-6733,1710304798,CTU,HGH,CA1742,CA,0,-64,CCA1742,CCA
345759e2,780F65,21,4750,162,,A320,B-8429,1710304795,HGH,CTU,CA1747,CA,0,-320,CCA1747,CCA
3457af64,781719,218,9075,157,,A20N,B-309R,1710304796,KMG,HGH,CA1752,CA,0,1536,CCA1752,CCA
345789bd,781159,165,6600,198,,A321,B-8583,1710304795,CKG,HGH,CA1760,CA,0,0,CCA1760,CCA
3457a091,7810B9,34,26600,484,,A320,B-8743,1710304799,NNG,HGH,CA1778,CA,0,0,CCA1778,CCA
34576771,78103B,62,7625,254,,A333,B-8579,1710304763,CAN,HGH,CA1790,CA,0,-384,CCA1790,CCA
34578fdb,7800DF,353,5075,174,,A319,B-6213,1710304778,NKG,PEK,CA1818,CA,0,-1088,CCA1818,CCA
34579d26,78009B,171,24600,436,,A321,B-1878,1710304799,PEK,CZX,CA1825,CA,0,0,CCA1825,CCA
34579348,798034,175,31100,437,,A319,B-6033,1710304796,PEK,XMN,CA1833,CA,0,-128,CCA1833,CCA
3457a5ae,78068D,335,27600,414,,A321,B-6712,1710304794,NGB,PEK,CA1840,CA,0,0,CCA1840,CCA
