id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
34578580,781E90,350,30075,420,,A20N,B-32CT,1710303627,KMG,LHW,MU2250,MU,0,0,CES2250,CES
34578d94,7815A0,359,26600,395,,A20N,B-304P,1710303623,CAN,XIY,MU2312,MU,0,0,CES2312,CES
34578b0e,780FE9,119,22600,462,,A320,B-8558,1710303623,LHW,KHN,MU2325,MU,0,0,CES2325,CES
34578f58,780B17,25,25825,426,,B738,B-5795,1710303619,CKG,TYN,MU2330,MU,0,0,CES2330,CES
345799b8,780D97,285,30100,384,,A319,B-6470,1710303623,XIY,LXA,MU2335,MU,0,0,CES2335,CES
34575e1a,78122E,270,0,10,,A321,B-8861,1710303584,XIY,SYX,MU2339,MU,1,0,CES2339,CES
3457796e,780D96,261,34100,396,,A319,B-6469,1710303623,XIY,KRL,MU2355,MU,0,-64,CES2355,CES
34578698,780853,122,24600,414,,A320,B-6871,1710303627,LHW,NKG,MU2359,MU,0,64,CES2359,CES
34579d7b,780F46,60,29100,487,,A320,B-8395,1710303621,TYN,YNT,MU2373,MU,0,0,CES2373,CES
34578df4,7805D9,327,14550,394,,A320,B-6617,1710303619,CSX,XIY,MU2384,MU,0,-896,CES2384,CES
3457829c,78194C,299,36125,384,,A20N,B-30FD,1710303627,XIY,HTN,MU2385,MU,0,0,CES2385,CES
34577c58,780F49,82,19100,375,,A319,B-8379,1710303609,XIY,WNZ,MU2392,MU,0,-1856,CES2392,CES
3457a71f,781107,206,8925,271,,A321,B-8977,1710303625,XIY,HGH,MU2397,MU,0,2560,CES2397,CES
34578a47,780D9B,310,30100,398,,B738,B-1775,1710303625,PVG,TYN,MU2401,MU,0,0,CES2401,CES
3457a270,780D9A,335,26975,422,,B738,B-1773,1710303622,SHA,TYN,MU2409,MU,0,1792,CES2409,CES
34578d35,7812A5,278,32100,394,,A320,B-1018,1710303623,PKX,LHW,MU2412,MU,0,64,CES2412,CES
345790bd,780B37,277,32150,394,,A320,B-9942,1710303623,PKX,XNN,MU2428,MU,0,-64,CES2428,CES
3457a3b1,780FC0,174,19700,392,,B738,B-7876,1710303621,PKX,WUH,MU2452,MU,0,0,CES2452,CES
34579b48,7811B6,63,31100,530,,B738,B-1449,1710303625,KMG,WUH,MU2481,MU,0,0,CES2481,CES
34578efb,781043,270,21700,373,,B738,B-1535,1710303619,SHA,WUH,MU2506,MU,0,0,CES2506,CES
34579846,7813E6,31,24600,456,,B738,B-1486,1710303623,BHY,WUH,MU2511,MU,0,64,CES2511,CES
3457a488,780DD9,343,0,9,,B738,B-1513,1710303585,PVG,WUH,MU2524,MU,1,0,CES2524,CES
3457a03f,7802DB,258,32100,374,,B738,B-1910,1710303623,JNZ,WUH,MU2557,MU,0,64,CES2557,CES
345787a2,780CAC,26,14700,325,,B738,B-1965,1710303619,SZX,WUH,MU2558,MU,0,-1152,CES2558,CES
34578c59,781634,317,34100,422,,A359,B-306Y,1710303627,WNZ,MAD,MU261,MU,0,0,CES261,CES
3457963a,780F4B,185,23600,415,,B738,B-7301,1710303623,DOY,WUH,MU2622,MU,0,0,CES2622,CES
34578d3a,781044,152,19700,396,,B738,B-1536,1710303619,UYN,WUH,MU2627,MU,0,0,CES2627,CES
34578d32,780AF8,110,700,138,,B738,B-5780,1710303623,YIH,CZX,MU2643,MU,0,-896,CES2643,CES
3457a15d,781142,135,26600,473,,B738,B-1422,1710303620,TFU,WUH,MU2654,MU,0,0,CES2654,CES
34577e2e,780D7A,201,32100,436,,A320,B-1635,1710303626,WUX,SYX,MU2673,MU,0,0,CES2673,CES
3457a61d,7808EE,173,16650,344,,A320,B-6930,1710303625,XIY,NTG,MU2684,MU,0,2560,CES2684,CES
3457950e,780B26,76,24625,498,,A320,B-9950,1710303623,XIY,WUX,MU2688,MU,0,-64,CES2688,CES
345757c5,78192E,211,34100,403,,A20N,B-30ET,1710303625,NKG,JHG,MU2691,MU,0,-64,CES2691,CES
345796db,780F91,322,25600,372,,A320,B-8496,1710303623,NKG,HET,MU2693,MU,0,0,CES2693,CES
34579bbc,79A074,339,24600,414,,A320,B-2412,1710303624,FOC,NKG,MU2708,MU,0,0,CES2708,CES
34578e11,781617,243,30050,361,,A20N,B-306D,1710303623,NKG,KMG,MU2715,MU,0,0,CES2715,CES
34577741,780582,247,30000,366,,A321,B-6591,1710303624,NRT,PVG,MU272,MU,0,0,CES272,CES
34578e0a,7804B5,141,16700,370,,A321,B-6368,1710303626,PKX,WUX,MU2732,MU,0,0,CES2732,CES
3457a081,781FCD,309,19700,361,,A20N,B-32FC,1710303625,NKG,XIY,MU2769,MU,0,0,CES2769,CES
34578819,780EF0,63,2250,173,,A320,B-8222,1710303563,DLC,NKG,MU2797,MU,0,-960,CES2797,CES
34579f10,781618,99,15450,311,,A20N,B-306E,1710303627,SHE,NKG,MU2828,MU,0,2688,CES2828,CES
34579b6b,7819DD,23,24600,481,,A20N,B-320H,1710303619,SZX,NKG,MU2868,MU,0,0,CES2868,CES
34579f05,78189A,31,33100,512,,A20N,B-30DJ,1710303623,JHG,NKG,MU2874,MU,0,0,CES2874,CES
34579908,7803F0,2,24600,434,,A321,B-6332,1710303626,CAN,WUX,MU2908,MU,0,0,CES2908,CES
3457a08c,780603,71,26600,474,,A320,B-6637,1710303626,CKG,NKG,MU2926,MU,0,128,CES2926,CES
3457875d,780C26,290,29125,369,,A319,B-6457,1710303614,KHH,NKG,MU2946,MU,0,0,CES2946,CES
345758c9,781619,289,36100,386,,A20N,B-306F,1710303619,NKG,KHG,MU2963,MU,0,0,CES2963,CES
34576c6a,7814BF,286,34100,356,,A20N,B-301Z,1710303623,NKG,URC,MU2991,MU,0,0,CES2991,CES
3457a415,780CA9,73,0,21,,A332,B-5952,1710303581,PVG,TPE,MU5007,MU,1,0,CES5007,CES
3457a177,780B33,323,0,7,,A332,B-5930,1710303623,ICN,PVG,MU5042,MU,1,0,CES5042,CES
34579bce,7809BF,228,31975,393,,A321,B-9906,1710303624,PUS,PVG,MU5044,MU,0,0,CES5044,CES
34578bd4,79A04F,255,25025,354,,A320,B-6006,1710303623,TAE,PVG,MU5054,MU,0,-1152,CES5054,CES
3457a4ae,7805C9,160,0,12,,A320,B-8973,1710303625,MFM,HFE,MU5056,MU,1,0,CES5056,CES
34577c45,780B79,323,11750,260,,A320,B-9972,1710303623,PVG,ICN,MU5061,MU,0,0,CES5061,CES
34575f15,781543,207,36100,422,,B738,B-206S,1710303623,TYN,BKK,MU5067,MU,0,0,CES5067,CES
34578df9,780FED,208,32100,414,,A321,B-8572,1710303625,PVG,HKG,MU507,MU,0,0,CES507,CES
34577879,7809BA,80,32975,489,,A320,B-9900,1710303625,TAO,NRT,MU5079,MU,0,64,CES5079,CES
34572ba3,781F7E,211,36000,472,,A20N,B-32EM,1710303623,HGH,KUL,MU5095,MU,0,0,CES5095,CES
34578660,780D1F,349,30125,429,,A321,B-1615,1710303623,SHA,PEK,MU5107,MU,0,0,CES5107,CES
34578c3a,780F3F,144,26600,468,,B77W,B-7367,1710303625,PEK,SHA,MU5108,MU,0,0,CES5108,CES
3457a6b4,781463,288,6425,264,,A333,B-300Q,1710303626,SHA,PEK,MU5109,MU,0,1408,CES5109,CES
3457a75d,781540,355,5350,255,,A333,B-303D,1710303623,PEK,SHA,MU5110,MU,0,2752,CES5110,CES
34578e04,78119C,152,24600,442,,A321,B-8567,1710303625,PKX,HGH,MU5132,MU,0,0,CES5132,CES
3457a6d5,780938,343,0,23,,A319,B-6430,1710303585,PVG,,MU5142,MU,1,0,CES5142,CES
345770f6,780932,191,0,0,,A332,B-5908,1710303621,PVG,KIX,MU515,MU,1,0,CES515,CES
3457974c,781100,160,35100,485,,B77W,B-7868,1710303623,PEK,SHA,MU5154,MU,0,0,CES5154,CES
34578ff4,780583,316,34100,374,,A321,B-6592,1710303623,PVG,PEK,MU5155,MU,0,0,CES5155,CES
3457845d,78185D,67,7800,274,,A20N,B-30D1,1710303624,PVG,FUK,MU517,MU,0,-1792,CES517,CES
3457917c,781603,199,28550,421,,A20N,B-305Y,1710303626,HFE,BAR,MU5172,MU,0,1408,CES5172,CES
34579242,7807D1,197,24600,432,,A320,B-6829,1710303625,PKX,KHN,MU5174,MU,0,-128,CES5174,CES
34578371,79A047,210,8600,287,,A320,B-2229,1710303623,PKX,NGB,MU5178,MU,0,-64,CES5178,CES
3457875e,7808ED,284,20900,397,,A320,B-6929,1710303623,CGO,LHW,MU5181,MU,0,-1024,CES5181,CES
34577ade,78045F,351,12800,321,,A321,B-6345,1710303623,HGH,PKX,MU5194,MU,0,-64,CES5194,CES
34579294,781DE8,67,35100,560,,A20N,B-32AC,1710303624,LZH,PVG,MU5204,MU,0,0,CES5204,CES
34579f67,780EBA,146,3000,153,,A321,B-8163,1710303623,PVG,HSN,MU5205,MU,0,1216,CES5205,CES
34577654,7809B8,79,33000,558,,A332,B-5920,1710303626,PVG,NRT,MU521,MU,0,64,CES521,CES
34579482,780FEB,47,31125,510,,A321,B-8570,1710303625,CAN,HGH,MU5212,MU,0,-64,CES5212,CES
3457443d,780ADB,257,11750,200,,A320,B-9921,1710303575,XMN,KMG,MU5221,MU,0,-1216,CES5221,CES
3457a0ab,781509,53,31100,500,,B738,B-205Y,1710303623,TFU,TYN,MU5234,MU,0,-64,CES5234,CES
34579f0d,78108B,158,25600,463,,A321,B-8651,1710303619,TAO,NGB,MU5243,MU,0,0,CES5243,CES
3457780d,7804B4,148,14775,406,,A321,B-6367,1710303626,PKX,KIX,MU525,MU,0,-896,CES525,CES
3457a2eb,78078B,64,10825,372,,A320,B-6798,1710303624,CAN,TAO,MU5256,MU,0,-128,CES5256,CES
34579358,780CA4,6,24600,437,,A320,B-1865,1710303625,CAN,HFE,MU5288,MU,0,0,CES5288,CES
345798dd,780FEA,228,34125,348,,A321,B-8559,1710303623,SHA,CAN,MU5303,MU,0,0,CES5303,CES
34578307,781EB7,28,21150,367,,A359,B-32CZ,1710303627,CAN,SHA,MU5306,MU,0,-1024,CES5306,CES
34579ddc,7805BB,317,7975,271,,A320,B-6600,1710303617,CAN,TFU,MU5322,MU,0,3392,CES5322,CES
34578613,78108D,177,0,13,,A321,B-8653,1710303587,CSX,SHA,MU5324,MU,1,0,CES5324,CES
34574bb0,780B34,341,35975,404,,A332,B-5931,1710303616,PVG,LHR,MU533,MU,0,896,CES533,CES
34577207,78045E,357,0,16,,A333,B-6100,1710303574,SZX,SHA,MU5334,MU,1,0,CES5334,CES
34578454,780850,30,33100,490,,A332,B-6543,1710303622,SZX,SHA,MU5336,MU,0,0,CES5336,CES
345796ae,78108C,52,31100,518,,A321,B-8652,1710303627,SZX,SHA,MU5338,MU,0,64,CES5338,CES
345791d6,780EBF,8,21325,380,,A320,B-8119,1710303623,HSN,YNT,MU5369,MU,0,-960,CES5369,CES
345784c2,781D38,61,3950,209,,A20N,B-327X,1710303626,AKA,PVG,MU5376,MU,0,-832,CES5376,CES
3457896c,78132E,5,11800,323,,A320,B-1035,1710303623,HGH,YNT,MU5381,MU,0,64,CES5381,CES
3457879a,780B81,27,0,7,,B738,B-5858,1710303573,WUH,FOC,MU5399,MU,1,0,CES5399,CES
34575a8c,780560,260,18075,392,,B77W,B-2002,1710303624,PVG,CTU,MU5405,MU,0,-1536,CES5405,CES
3457a34a,781D9C,335,19025,406,,A359,B-329E,1710303623,SHA,CTU,MU5409,MU,0,1984,CES5409,CES
34573dfa,781336,218,38000,472,,A333,B-1049,1710303625,PVG,BKK,MU541,MU,0,0,CES541,CES
34577480,780F44,252,12525,297,,A321,B-8406,1710303616,SHA,CKG,MU5425,MU,0,-1088,CES5425,CES
34577796,78071E,268,34100,325,,A321,B-6755,1710303619,PVG,CKG,MU5427,MU,0,0,CES5427,CES
34579e95,781931,262,21700,381,,A20N,B-30ES,1710303624,SHA,HET,MU5459,MU,0,0,CES5459,CES
34576c0f,78195F,247,36900,435,,A359,B-30FM,1710303626,PVG,SYX,MU5468,MU,0,-1024,CES5468,CES
34579f1c,780D19,68,24600,509,,A320,B-1607,1710303623,KMG,KHN,MU5470,MU,0,0,CES5470,CES
34579cd3,7817D1,277,30100,370,,A20N,B-30AW,1710303623,HFE,KMG,MU5489,MU,0,64,CES5489,CES
34579740,781228,132,29075,500,,A320,B-8855,1710303624,CTU,HGH,MU5495,MU,0,-64,CES5495,CES
34579a30,780612,278,16000,292,,A321,B-6643,1710303625,FOC,KMG,MU5505,MU,0,3072,CES5505,CES
3457a3a8,781087,249,19700,374,,A321,B-8648,1710303623,TAO,SHA,MU5518,MU,0,0,CES5518,CES
3456a687,780561,135,35000,531,,B77W,B-2005,1710303626,LHR,PVG,MU552,MU,0,0,CES552,CES
345799cf,7802A4,29,29125,450,,A321,B-2420,1710303627,TAO,DQA,MU5529,MU,0,-64,CES5529,CES
3455d35a,780D9F,265,4600,223,,B77W,B-2023,1710303624,PVG,CDG,MU553,MU,0,-1024,CES553,CES
3457a164,78194D,261,14375,348,,A20N,B-30FE,1710303623,YNT,CGO,MU5575,MU,0,0,CES5575,CES
3457872c,781464,338,15600,274,,A20N,B-300R,1710303623,PVG,TAO,MU5589,MU,0,-1024,CES5589,CES
34577184,781232,29,15325,342,,B738,B-1317,1710303623,PVG,SHE,MU5601,MU,0,-1216,CES5601,CES
34574666,781EB8,358,38000,492,,A359,B-32D0,1710303619,SYD,PVG,MU562,MU,0,0,CES562,CES
34579894,780FF7,158,25600,454,,A321,B-8575,1710303623,DLC,PVG,MU5624,MU,0,0,CES5624,CES
3457a6d3,781B3B,343,0,19,,A20N,B-322Q,1710303583,PVG,,MU5632,MU,1,128,CES5632,CES
3457905a,781C4F,353,27600,448,,A20N,B-325S,1710303623,SHA,TSN,MU5643,MU,0,0,CES5643,CES
3457947e,780C9F,220,30100,408,,A320,B-1859,1710303622,NGB,ZUH,MU5649,MU,0,64,CES5649,CES
34575377,780B35,27,325,127,,A321,B-9947,1710303627,PVG,FOC,MU5662,MU,0,-704,CES5662,CES
3457a2e6,781858,46,10650,342,,A359,B-30CW,1710303626,XMN,SHA,MU5664,MU,0,1152,CES5664,CES
34578aff,78159F,210,11350,282,,B738,B-207X,1710303626,SHA,XMN,MU5665,MU,0,-1280,CES5665,CES
3457830b,780B36,41,30475,435,,A320,B-9941,1710303627,DLC,LDS,MU5667,MU,0,0,CES5667,CES
34575dd0,781101,197,28000,481,,B77W,B-7881,1710303619,PVG,SIN,MU567,MU,0,0,CES567,CES
34579243,7817D2,113,29100,498,,A20N,B-30AX,1710303623,INC,SHA,MU5692,MU,0,0,CES5692,CES
34578226,780939,29,29125,430,,A319,B-6431,1710303626,DLC,JGD,MU5695,MU,0,-64,CES5695,CES
34575c25,781D9E,284,34100,368,,A20N,B-329A,1710303627,PVG,URC,MU5699,MU,0,0,CES5699,CES
34566d1b,780504,157,35100,511,,B77W,B-2001,1710303604,CDG,PVG,MU570,MU,0,-64,CES570,CES
3457a3d3,781017,43,29000,478,,B738,B-7592,1710303624,KMG,PKX,MU5705,MU,0,896,CES5705,CES
34579d0c,780BAB,202,32100,408,,B737,B-5809,1710303624,XIY,DLU,MU5726,MU,0,0,CES5726,CES
345785a3,78055A,220,10450,163,,B737,B-5256,1710303623,YIH,KMG,MU5730,MU,0,-192,CES5730,CES
34579357,7812F4,297,34100,405,,B38M,B-1383,1710303625,CAN,KMG,MU5732,MU,0,0,CES5732,CES
3457861e,780559,100,27725,470,,B737,B-5255,1710303623,LJG,CAN,MU5741,MU,0,-2112,CES5741,CES
34575b92,780791,64,17850,377,,B737,B-5276,1710303623,JHG,TSN,MU5747,MU,0,-1024,CES5747,CES
34574966,78034A,159,10275,120,,B737,B-5820,1710303623,CAN,DIG,MU5774,MU,0,-128,CES5774,CES
3457a858,781214,176,1775,160,,B738,B-1309,1710303623,SHA,KMG,MU5802,MU,0,1792,CES5802,CES
34577de6,780E85,81,33100,508,,B738,B-6249,1710303624,KMG,SHA,MU5805,MU,0,0,CES5805,CES
3457a338,780DB5,35,22225,436,,B738,B-1788,1710303623,KMG,SHA,MU5807,MU,0,2368,CES5807,CES
345797dc,781595,211,25600,412,,B738,B-207L,1710303605,CTU,KMG,MU5844,MU,0,0,CES5844,CES
34579a78,780650,76,24600,441,,B738,B-5515,1710303623,KMG,CKG,MU5865,MU,0,64,CES5865,CES
3457a165,780DB9,233,25600,385,,B738,B-1792,1710303623,HFE,KMG,MU5870,MU,0,0,CES5870,CES
34579fa8,780890,262,19700,377,,B738,B-7170,1710303627,WNZ,KMG,MU5880,MU,0,0,CES5880,CES
3457a1bd,781016,269,30100,409,,B738,B-7589,1710303626,ZUH,KMG,MU5890,MU,0,-64,CES5890,CES
34579896,78009D,317,30750,400,,A333,B-8967,1710303625,PVG,SVO,MU591,MU,0,1088,CES591,CES
34579766,780D7B,51,14625,282,,B737,B-5826,1710303623,LUM,KMG,MU5980,MU,0,0,CES5980,CES
345781fa,781541,211,30125,256,,A20N,B-303E,1710303617,PVG,HAN,MU6011,MU,0,64,CES6011,CES
34579892,7816E9,335,23200,370,,A20N,B-308Y,1710303627,PVG,XIY,MU6158,MU,0,2304,CES6158,CES
3457a413,780EDA,210,19125,396,,A320,B-8276,1710303619,PKX,TFU,MU6282,MU,0,0,CES6282,CES
34577bdf,781F44,287,30100,374,,A20N,B-32DZ,1710303626,PVG,XIY,MU6295,MU,0,0,CES6295,CES
3457a03e,780094,196,975,160,,A333,B-6095,1710303623,CAN,PKX,MU6304,MU,0,2112,CES6304,CES
3457720f,780F41,145,24600,411,,A321,B-8397,1710303621,DLC,SHA,MU6334,MU,0,0,CES6334,CES
3457a599,79A066,358,10825,316,,A321,B-2289,1710303623,HAK,PVG,MU6342,MU,0,1536,CES6342,CES
34578b1f,780E3C,309,30075,392,,A321,B-8232,1710303625,PVG,DSN,MU6349,MU,0,-64,CES6349,CES
3457a215,781DA6,222,3250,149,,A20N,B-329N,1710303623,YNT,PVG,MU6352,MU,0,2112,CES6352,CES
3457a1c4,78185E,49,31100,506,,A20N,B-30D2,1710303626,ZHA,HFE,MU6410,MU,0,-64,CES6410,CES
34578752,780935,214,4000,255,,A320,B-6951,1710303624,KHN,ZUH,MU6415,MU,0,-896,CES6415,CES
